#globch	roc	feb	febch	mapmt	pixel	xcoord	ycoord	xbin	ybin	trb	trbch
#--------------------------------------------------------------------------------------------
74	0	0	74	2	11	40.1875	160.312	5	22	0	0
75	0	0	75	2	15	15.6875	160.312	1	22	0	0
76	0	0	76	2	10	46.3125	160.312	6	22	0	0
77	0	0	77	2	14	21.8125	160.312	2	22	0	0
78	0	0	78	2	12	34.0625	160.312	4	22	0	0
79	0	0	79	2	16	9.5625	160.312	0	22	0	0
80	0	0	80	2	17	52.4375	154.188	7	21	0	0
81	0	0	81	2	21	27.9375	154.188	3	21	0	0
82	0	0	82	2	19	40.1875	154.188	5	21	0	0
83	0	0	83	2	23	15.6875	154.188	1	21	0	0
84	0	0	84	2	18	46.3125	154.188	6	21	0	0
85	0	0	85	2	22	21.8125	154.188	2	21	0	0
86	0	0	86	2	20	34.0625	154.188	4	21	0	0
87	0	0	87	2	24	9.5625	154.188	0	21	0	0
88	0	0	88	2	25	52.4375	148.062	7	20	0	0
89	0	0	89	2	29	27.9375	148.062	3	20	0	0
90	0	0	90	2	27	40.1875	148.062	5	20	0	0
91	0	0	91	2	31	15.6875	148.062	1	20	0	0
92	0	0	92	2	26	46.3125	148.062	6	20	0	0
93	0	0	93	2	30	21.8125	148.062	2	20	0	0
94	0	0	94	2	28	34.0625	148.062	4	20	0	0
95	0	0	95	2	32	9.5625	148.062	0	20	0	0
96	0	0	96	2	33	52.4375	141.938	7	19	0	0
97	0	0	97	2	37	27.9375	141.938	3	19	0	0
98	0	0	98	2	35	40.1875	141.938	5	19	0	0
99	0	0	99	2	39	15.6875	141.938	1	19	0	0
100	0	0	100	2	34	46.3125	141.938	6	19	0	0
101	0	0	101	2	38	21.8125	141.938	2	19	0	0
102	0	0	102	2	36	34.0625	141.938	4	19	0	0
103	0	0	103	2	40	9.5625	141.938	0	19	0	0
104	0	0	104	2	41	52.4375	135.812	7	18	0	0
105	0	0	105	2	45	27.9375	135.812	3	18	0	0
106	0	0	106	2	43	40.1875	135.812	5	18	0	0
107	0	0	107	2	47	15.6875	135.812	1	18	0	0
108	0	0	108	2	42	46.3125	135.812	6	18	0	0
109	0	0	109	2	46	21.8125	135.812	2	18	0	0
110	0	0	110	2	44	34.0625	135.812	4	18	0	0
111	0	0	111	2	48	9.5625	135.812	0	18	0	0
112	0	0	112	2	49	52.4375	129.688	7	17	0	0
113	0	0	113	2	53	27.9375	129.688	3	17	0	0
114	0	0	114	2	51	40.1875	129.688	5	17	0	0
115	0	0	115	2	55	15.6875	129.688	1	17	0	0
116	0	0	116	2	50	46.3125	129.688	6	17	0	0
117	0	0	117	2	54	21.8125	129.688	2	17	0	0
118	0	0	118	2	52	34.0625	129.688	4	17	0	0
119	0	0	119	2	56	9.5625	129.688	0	17	0	0
120	0	0	120	2	57	52.4375	123.562	7	16	0	0
121	0	0	121	2	61	27.9375	123.562	3	16	0	0
122	0	0	122	2	59	40.1875	123.562	5	16	0	0
123	0	0	123	2	63	15.6875	123.562	1	16	0	0
124	0	0	124	2	58	46.3125	123.562	6	16	0	0
125	0	0	125	2	62	21.8125	123.562	2	16	0	0
126	0	0	126	2	60	34.0625	123.562	4	16	0	0
127	0	0	127	2	64	9.5625	123.562	0	16	0	0
128	0	2	0	3	1	52.4375	112.438	7	15	0	0
129	0	2	1	3	5	27.9375	112.438	3	15	0	0
130	0	2	2	3	3	40.1875	112.438	5	15	0	0
131	0	2	3	3	7	15.6875	112.438	1	15	0	0
132	0	2	4	3	2	46.3125	112.438	6	15	0	0
133	0	2	5	3	6	21.8125	112.438	2	15	0	0
134	0	2	6	3	4	34.0625	112.438	4	15	0	0
135	0	2	7	3	8	9.5625	112.438	0	15	0	0
136	0	2	8	3	9	52.4375	106.312	7	14	0	0
137	0	2	9	3	13	27.9375	106.312	3	14	0	0
138	0	2	10	3	11	40.1875	106.312	5	14	0	0
139	0	2	11	3	15	15.6875	106.312	1	14	0	0
140	0	2	12	3	10	46.3125	106.312	6	14	0	0
141	0	2	13	3	14	21.8125	106.312	2	14	0	0
142	0	2	14	3	12	34.0625	106.312	4	14	0	0
143	0	2	15	3	16	9.5625	106.312	0	14	0	0
144	0	2	16	3	17	52.4375	100.188	7	13	0	0
145	0	2	17	3	21	27.9375	100.188	3	13	0	0
146	0	2	18	3	19	40.1875	100.188	5	13	0	0
147	0	2	19	3	23	15.6875	100.188	1	13	0	0
148	0	2	20	3	18	46.3125	100.188	6	13	0	0
149	0	2	21	3	22	21.8125	100.188	2	13	0	0
150	0	2	22	3	20	34.0625	100.188	4	13	0	0
151	0	2	23	3	24	9.5625	100.188	0	13	0	0
152	0	2	24	3	25	52.4375	94.0625	7	12	0	0
153	0	2	25	3	29	27.9375	94.0625	3	12	0	0
154	0	2	26	3	27	40.1875	94.0625	5	12	0	0
155	0	2	27	3	31	15.6875	94.0625	1	12	0	0
156	0	2	28	3	26	46.3125	94.0625	6	12	0	0
157	0	2	29	3	30	21.8125	94.0625	2	12	0	0
158	0	2	30	3	28	34.0625	94.0625	4	12	0	0
159	0	2	31	3	32	9.5625	94.0625	0	12	0	0
160	0	2	32	3	33	52.4375	87.9375	7	11	0	0
161	0	2	33	3	37	27.9375	87.9375	3	11	0	0
162	0	2	34	3	35	40.1875	87.9375	5	11	0	0
163	0	2	35	3	39	15.6875	87.9375	1	11	0	0
164	0	2	36	3	34	46.3125	87.9375	6	11	0	0
165	0	2	37	3	38	21.8125	87.9375	2	11	0	0
166	0	2	38	3	36	34.0625	87.9375	4	11	0	0
167	0	2	39	3	40	9.5625	87.9375	0	11	0	0
168	0	2	40	3	41	52.4375	81.8125	7	10	0	0
169	0	2	41	3	45	27.9375	81.8125	3	10	0	0
170	0	2	42	3	43	40.1875	81.8125	5	10	0	0
171	0	2	43	3	47	15.6875	81.8125	1	10	0	0
172	0	2	44	3	42	46.3125	81.8125	6	10	0	0
173	0	2	45	3	46	21.8125	81.8125	2	10	0	0
174	0	2	46	3	44	34.0625	81.8125	4	10	0	0
175	0	2	47	3	48	9.5625	81.8125	0	10	0	0
176	0	2	48	3	49	52.4375	75.6875	7	9	0	0
177	0	2	49	3	53	27.9375	75.6875	3	9	0	0
178	0	2	50	3	51	40.1875	75.6875	5	9	0	0
179	0	2	51	3	55	15.6875	75.6875	1	9	0	0
180	0	2	52	3	50	46.3125	75.6875	6	9	0	0
181	0	2	53	3	54	21.8125	75.6875	2	9	0	0
182	0	2	54	3	52	34.0625	75.6875	4	9	0	0
183	0	2	55	3	56	9.5625	75.6875	0	9	0	0
184	0	2	56	3	57	52.4375	69.5625	7	8	0	0
185	0	2	57	3	61	27.9375	69.5625	3	8	0	0
186	0	2	58	3	59	40.1875	69.5625	5	8	0	0
187	0	2	59	3	63	15.6875	69.5625	1	8	0	0
188	0	2	60	3	58	46.3125	69.5625	6	8	0	0
189	0	2	61	3	62	21.8125	69.5625	2	8	0	0
190	0	2	62	3	60	34.0625	69.5625	4	8	0	0
191	0	2	63	3	64	9.5625	69.5625	0	8	0	0
192	0	2	64	4	1	52.4375	58.4375	7	7	0	0
193	0	2	65	4	5	27.9375	58.4375	3	7	0	0
194	0	2	66	4	3	40.1875	58.4375	5	7	0	0
195	0	2	67	4	7	15.6875	58.4375	1	7	0	0
196	0	2	68	4	2	46.3125	58.4375	6	7	0	0
197	0	2	69	4	6	21.8125	58.4375	2	7	0	0
198	0	2	70	4	4	34.0625	58.4375	4	7	0	0
199	0	2	71	4	8	9.5625	58.4375	0	7	0	0
200	0	2	72	4	9	52.4375	52.3125	7	6	0	0
201	0	2	73	4	13	27.9375	52.3125	3	6	0	0
202	0	2	74	4	11	40.1875	52.3125	5	6	0	0
203	0	2	75	4	15	15.6875	52.3125	1	6	0	0
204	0	2	76	4	10	46.3125	52.3125	6	6	0	0
205	0	2	77	4	14	21.8125	52.3125	2	6	0	0
206	0	2	78	4	12	34.0625	52.3125	4	6	0	0
207	0	2	79	4	16	9.5625	52.3125	0	6	0	0
208	0	2	80	4	17	52.4375	46.1875	7	5	0	0
209	0	2	81	4	21	27.9375	46.1875	3	5	0	0
210	0	2	82	4	19	40.1875	46.1875	5	5	0	0
211	0	2	83	4	23	15.6875	46.1875	1	5	0	0
212	0	2	84	4	18	46.3125	46.1875	6	5	0	0
213	0	2	85	4	22	21.8125	46.1875	2	5	0	0
214	0	2	86	4	20	34.0625	46.1875	4	5	0	0
215	0	2	87	4	24	9.5625	46.1875	0	5	0	0
216	0	2	88	4	25	52.4375	40.0625	7	4	0	0
217	0	2	89	4	29	27.9375	40.0625	3	4	0	0
218	0	2	90	4	27	40.1875	40.0625	5	4	0	0
219	0	2	91	4	31	15.6875	40.0625	1	4	0	0
220	0	2	92	4	26	46.3125	40.0625	6	4	0	0
221	0	2	93	4	30	21.8125	40.0625	2	4	0	0
222	0	2	94	4	28	34.0625	40.0625	4	4	0	0
223	0	2	95	4	32	9.5625	40.0625	0	4	0	0
224	0	2	96	4	33	52.4375	33.9375	7	3	0	0
225	0	2	97	4	37	27.9375	33.9375	3	3	0	0
226	0	2	98	4	35	40.1875	33.9375	5	3	0	0
227	0	2	99	4	39	15.6875	33.9375	1	3	0	0
228	0	2	100	4	34	46.3125	33.9375	6	3	0	0
229	0	2	101	4	38	21.8125	33.9375	2	3	0	0
230	0	2	102	4	36	34.0625	33.9375	4	3	0	0
231	0	2	103	4	40	9.5625	33.9375	0	3	0	0
232	0	2	104	4	41	52.4375	27.8125	7	2	0	0
233	0	2	105	4	45	27.9375	27.8125	3	2	0	0
234	0	2	106	4	43	40.1875	27.8125	5	2	0	0
235	0	2	107	4	47	15.6875	27.8125	1	2	0	0
236	0	2	108	4	42	46.3125	27.8125	6	2	0	0
237	0	2	109	4	46	21.8125	27.8125	2	2	0	0
238	0	2	110	4	44	34.0625	27.8125	4	2	0	0
239	0	2	111	4	48	9.5625	27.8125	0	2	0	0
240	0	2	112	4	49	52.4375	21.6875	7	1	0	0
241	0	2	113	4	53	27.9375	21.6875	3	1	0	0
242	0	2	114	4	51	40.1875	21.6875	5	1	0	0
243	0	2	115	4	55	15.6875	21.6875	1	1	0	0
244	0	2	116	4	50	46.3125	21.6875	6	1	0	0
245	0	2	117	4	54	21.8125	21.6875	2	1	0	0
246	0	2	118	4	52	34.0625	21.6875	4	1	0	0
247	0	2	119	4	56	9.5625	21.6875	0	1	0	0
248	0	2	120	4	57	52.4375	15.5625	7	0	0	0
249	0	2	121	4	61	27.9375	15.5625	3	0	0	0
250	0	2	122	4	59	40.1875	15.5625	5	0	0	0
251	0	2	123	4	63	15.6875	15.5625	1	0	0	0
252	0	2	124	4	58	46.3125	15.5625	6	0	0	0
253	0	2	125	4	62	21.8125	15.5625	2	0	0	0
254	0	2	126	4	60	34.0625	15.5625	4	0	0	0
255	0	2	127	4	64	9.5625	15.5625	0	0	0	0
256	1	0	0	5	1	106.438	220.438	15	31	0	0
257	1	0	1	5	5	81.9375	220.438	11	31	0	0
258	1	0	2	5	3	94.1875	220.438	13	31	0	0
259	1	0	3	5	7	69.6875	220.438	9	31	0	0
260	1	0	4	5	2	100.312	220.438	14	31	0	0
261	1	0	5	5	6	75.8125	220.438	10	31	0	0
262	1	0	6	5	4	88.0625	220.438	12	31	0	0
263	1	0	7	5	8	63.5625	220.438	8	31	0	0
264	1	0	8	5	9	106.438	214.312	15	30	0	0
265	1	0	9	5	13	81.9375	214.312	11	30	0	0
266	1	0	10	5	11	94.1875	214.312	13	30	0	0
267	1	0	11	5	15	69.6875	214.312	9	30	0	0
268	1	0	12	5	10	100.312	214.312	14	30	0	0
269	1	0	13	5	14	75.8125	214.312	10	30	0	0
270	1	0	14	5	12	88.0625	214.312	12	30	0	0
271	1	0	15	5	16	63.5625	214.312	8	30	0	0
272	1	0	16	5	17	106.438	208.188	15	29	0	0
273	1	0	17	5	21	81.9375	208.188	11	29	0	0
274	1	0	18	5	19	94.1875	208.188	13	29	0	0
275	1	0	19	5	23	69.6875	208.188	9	29	0	0
276	1	0	20	5	18	100.312	208.188	14	29	0	0
277	1	0	21	5	22	75.8125	208.188	10	29	0	0
278	1	0	22	5	20	88.0625	208.188	12	29	0	0
279	1	0	23	5	24	63.5625	208.188	8	29	0	0
280	1	0	24	5	25	106.438	202.062	15	28	0	0
281	1	0	25	5	29	81.9375	202.062	11	28	0	0
282	1	0	26	5	27	94.1875	202.062	13	28	0	0
283	1	0	27	5	31	69.6875	202.062	9	28	0	0
284	1	0	28	5	26	100.312	202.062	14	28	0	0
285	1	0	29	5	30	75.8125	202.062	10	28	0	0
286	1	0	30	5	28	88.0625	202.062	12	28	0	0
287	1	0	31	5	32	63.5625	202.062	8	28	0	0
288	1	0	32	5	33	106.438	195.938	15	27	0	0
289	1	0	33	5	37	81.9375	195.938	11	27	0	0
290	1	0	34	5	35	94.1875	195.938	13	27	0	0
291	1	0	35	5	39	69.6875	195.938	9	27	0	0
292	1	0	36	5	34	100.312	195.938	14	27	0	0
293	1	0	37	5	38	75.8125	195.938	10	27	0	0
294	1	0	38	5	36	88.0625	195.938	12	27	0	0
295	1	0	39	5	40	63.5625	195.938	8	27	0	0
296	1	0	40	5	41	106.438	189.812	15	26	0	0
297	1	0	41	5	45	81.9375	189.812	11	26	0	0
298	1	0	42	5	43	94.1875	189.812	13	26	0	0
299	1	0	43	5	47	69.6875	189.812	9	26	0	0
300	1	0	44	5	42	100.312	189.812	14	26	0	0
301	1	0	45	5	46	75.8125	189.812	10	26	0	0
302	1	0	46	5	44	88.0625	189.812	12	26	0	0
303	1	0	47	5	48	63.5625	189.812	8	26	0	0
304	1	0	48	5	49	106.438	183.688	15	25	0	0
305	1	0	49	5	53	81.9375	183.688	11	25	0	0
306	1	0	50	5	51	94.1875	183.688	13	25	0	0
307	1	0	51	5	55	69.6875	183.688	9	25	0	0
308	1	0	52	5	50	100.312	183.688	14	25	0	0
309	1	0	53	5	54	75.8125	183.688	10	25	0	0
310	1	0	54	5	52	88.0625	183.688	12	25	0	0
311	1	0	55	5	56	63.5625	183.688	8	25	0	0
312	1	0	56	5	57	106.438	177.562	15	24	0	0
313	1	0	57	5	61	81.9375	177.562	11	24	0	0
314	1	0	58	5	59	94.1875	177.562	13	24	0	0
315	1	0	59	5	63	69.6875	177.562	9	24	0	0
316	1	0	60	5	58	100.312	177.562	14	24	0	0
317	1	0	61	5	62	75.8125	177.562	10	24	0	0
318	1	0	62	5	60	88.0625	177.562	12	24	0	0
319	1	0	63	5	64	63.5625	177.562	8	24	0	0
320	1	0	64	6	1	106.438	166.438	15	23	0	0
321	1	0	65	6	5	81.9375	166.438	11	23	0	0
322	1	0	66	6	3	94.1875	166.438	13	23	0	0
323	1	0	67	6	7	69.6875	166.438	9	23	0	0
324	1	0	68	6	2	100.312	166.438	14	23	0	0
325	1	0	69	6	6	75.8125	166.438	10	23	0	0
326	1	0	70	6	4	88.0625	166.438	12	23	0	0
327	1	0	71	6	8	63.5625	166.438	8	23	0	0
328	1	0	72	6	9	106.438	160.312	15	22	0	0
329	1	0	73	6	13	81.9375	160.312	11	22	0	0
330	1	0	74	6	11	94.1875	160.312	13	22	0	0
331	1	0	75	6	15	69.6875	160.312	9	22	0	0
332	1	0	76	6	10	100.312	160.312	14	22	0	0
333	1	0	77	6	14	75.8125	160.312	10	22	0	0
334	1	0	78	6	12	88.0625	160.312	12	22	0	0
335	1	0	79	6	16	63.5625	160.312	8	22	0	0
336	1	0	80	6	17	106.438	154.188	15	21	0	0
337	1	0	81	6	21	81.9375	154.188	11	21	0	0
338	1	0	82	6	19	94.1875	154.188	13	21	0	0
339	1	0	83	6	23	69.6875	154.188	9	21	0	0
340	1	0	84	6	18	100.312	154.188	14	21	0	0
341	1	0	85	6	22	75.8125	154.188	10	21	0	0
342	1	0	86	6	20	88.0625	154.188	12	21	0	0
343	1	0	87	6	24	63.5625	154.188	8	21	0	0
344	1	0	88	6	25	106.438	148.062	15	20	0	0
345	1	0	89	6	29	81.9375	148.062	11	20	0	0
346	1	0	90	6	27	94.1875	148.062	13	20	0	0
347	1	0	91	6	31	69.6875	148.062	9	20	0	0
348	1	0	92	6	26	100.312	148.062	14	20	0	0
349	1	0	93	6	30	75.8125	148.062	10	20	0	0
350	1	0	94	6	28	88.0625	148.062	12	20	0	0
351	1	0	95	6	32	63.5625	148.062	8	20	0	0
352	1	0	96	6	33	106.438	141.938	15	19	0	0
353	1	0	97	6	37	81.9375	141.938	11	19	0	0
354	1	0	98	6	35	94.1875	141.938	13	19	0	0
355	1	0	99	6	39	69.6875	141.938	9	19	0	0
356	1	0	100	6	34	100.312	141.938	14	19	0	0
357	1	0	101	6	38	75.8125	141.938	10	19	0	0
358	1	0	102	6	36	88.0625	141.938	12	19	0	0
359	1	0	103	6	40	63.5625	141.938	8	19	0	0
360	1	0	104	6	41	106.438	135.812	15	18	0	0
361	1	0	105	6	45	81.9375	135.812	11	18	0	0
362	1	0	106	6	43	94.1875	135.812	13	18	0	0
363	1	0	107	6	47	69.6875	135.812	9	18	0	0
364	1	0	108	6	42	100.312	135.812	14	18	0	0
365	1	0	109	6	46	75.8125	135.812	10	18	0	0
366	1	0	110	6	44	88.0625	135.812	12	18	0	0
367	1	0	111	6	48	63.5625	135.812	8	18	0	0
368	1	0	112	6	49	106.438	129.688	15	17	0	0
369	1	0	113	6	53	81.9375	129.688	11	17	0	0
370	1	0	114	6	51	94.1875	129.688	13	17	0	0
371	1	0	115	6	55	69.6875	129.688	9	17	0	0
372	1	0	116	6	50	100.312	129.688	14	17	0	0
373	1	0	117	6	54	75.8125	129.688	10	17	0	0
374	1	0	118	6	52	88.0625	129.688	12	17	0	0
375	1	0	119	6	56	63.5625	129.688	8	17	0	0
376	1	0	120	6	57	106.438	123.562	15	16	0	0
377	1	0	121	6	61	81.9375	123.562	11	16	0	0
378	1	0	122	6	59	94.1875	123.562	13	16	0	0
379	1	0	123	6	63	69.6875	123.562	9	16	0	0
380	1	0	124	6	58	100.312	123.562	14	16	0	0
381	1	0	125	6	62	75.8125	123.562	10	16	0	0
382	1	0	126	6	60	88.0625	123.562	12	16	0	0
383	1	0	127	6	64	63.5625	123.562	8	16	0	0
384	1	2	0	7	1	106.438	112.438	15	15	1	0
385	1	2	1	7	5	81.9375	112.438	11	15	1	0
386	1	2	2	7	3	94.1875	112.438	13	15	1	0
387	1	2	3	7	7	69.6875	112.438	9	15	1	0
388	1	2	4	7	2	100.312	112.438	14	15	1	0
389	1	2	5	7	6	75.8125	112.438	10	15	1	0
390	1	2	6	7	4	88.0625	112.438	12	15	1	0
391	1	2	7	7	8	63.5625	112.438	8	15	1	0
392	1	2	8	7	9	106.438	106.312	15	14	1	0
393	1	2	9	7	13	81.9375	106.312	11	14	1	0
394	1	2	10	7	11	94.1875	106.312	13	14	1	0
395	1	2	11	7	15	69.6875	106.312	9	14	1	0
396	1	2	12	7	10	100.312	106.312	14	14	1	0
397	1	2	13	7	14	75.8125	106.312	10	14	1 	0
398	1	2	14	7	12	88.0625	106.312	12	14	1 	0
399	1	2	15	7	16	63.5625	106.312	8	14	1	0
400	1	2	16	7	17	106.438	100.188	15	13	1	0
401	1	2	17	7	21	81.9375	100.188	11	13	1	0
402	1	2	18	7	19	94.1875	100.188	13	13	1	0
403	1	2	19	7	23	69.6875	100.188	9	13	1	0
404	1	2	20	7	18	100.312	100.188	14	13	1	0
405	1	2	21	7	22	75.8125	100.188	10	13	1	0
406	1	2	22	7	20	88.0625	100.188	12	13	1	0
407	1	2	23	7	24	63.5625	100.188	8	13	1	0
408	1	2	24	7	25	106.438	94.0625	15	12	1	0
409	1	2	25	7	29	81.9375	94.0625	11	12	1	0
410	1	2	26	7	27	94.1875	94.0625	13	12	1	0
411	1	2	27	7	31	69.6875	94.0625	9	12	1	0
412	1	2	28	7	26	100.312	94.0625	14	12	1	0
413	1	2	29	7	30	75.8125	94.0625	10	12	1	0
414	1	2	30	7	28	88.0625	94.0625	12	12	1	0
415	1	2	31	7	32	63.5625	94.0625	8	12	1	0
416	1	2	32	7	33	106.438	87.9375	15	11	1	0
417	1	2	33	7	37	81.9375	87.9375	11	11	1	0
418	1	2	34	7	35	94.1875	87.9375	13	11	1	0
419	1	2	35	7	39	69.6875	87.9375	9	11	1	0
420	1	2	36	7	34	100.312	87.9375	14	11	1	0
421	1	2	37	7	38	75.8125	87.9375	10	11	1	0
422	1	2	38	7	36	88.0625	87.9375	12	11	1	0
423	1	2	39	7	40	63.5625	87.9375	8	11	1	0
424	1	2	40	7	41	106.438	81.8125	15	10	1	0
425	1	2	41	7	45	81.9375	81.8125	11	10	1	0
426	1	2	42	7	43	94.1875	81.8125	13	10	1	0
427	1	2	43	7	47	69.6875	81.8125	9	10	1	0
428	1	2	44	7	42	100.312	81.8125	14	10	1	0
429	1	2	45	7	46	75.8125	81.8125	10	10	1	0
430	1	2	46	7	44	88.0625	81.8125	12	10	1	0
431	1	2	47	7	48	63.5625	81.8125	8	10	1	0
432	1	2	48	7	49	106.438	75.6875	15	9	1	0
433	1	2	49	7	53	81.9375	75.6875	11	9	1	0
434	1	2	50	7	51	94.1875	75.6875	13	9	1	0
435	1	2	51	7	55	69.6875	75.6875	9	9	1	0
436	1	2	52	7	50	100.312	75.6875	14	9	1	0
437	1	2	53	7	54	75.8125	75.6875	10	9	1	0
438	1	2	54	7	52	88.0625	75.6875	12	9	1	0
439	1	2	55	7	56	63.5625	75.6875	8	9	1	0
440	1	2	56	7	57	106.438	69.5625	15	8	1	0
441	1	2	57	7	61	81.9375	69.5625	11	8	1	0
442	1	2	58	7	59	94.1875	69.5625	13	8	1	0
443	1	2	59	7	63	69.6875	69.5625	9	8	1	0
444	1	2	60	7	58	100.312	69.5625	14	8	1	0
445	1	2	61	7	62	75.8125	69.5625	10	8	1	0
446	1	2	62	7	60	88.0625	69.5625	12	8	1	0
447	1	2	63	7	64	63.5625	69.5625	8	8	1	0
448	1	2	64	8	1	106.438	58.4375	15	7	7	0
449	1	2	65	8	5	81.9375	58.4375	11	7	7	0
450	1	2	66	8	3	94.1875	58.4375	13	7	7	0
451	1	2	67	8	7	69.6875	58.4375	9	7	7	0
452	1	2	68	8	2	100.312	58.4375	14	7	7	0
453	1	2	69	8	6	75.8125	58.4375	10	7	7	0
454	1	2	70	8	4	88.0625	58.4375	12	7	7	0
455	1	2	71	8	8	63.5625	58.4375	8	7	7	0
456	1	2	72	8	9	106.438	52.3125	15	6	7	0
457	1	2	73	8	13	81.9375	52.3125	11	6	7	0
458	1	2	74	8	11	94.1875	52.3125	13	6	7	0
459	1	2	75	8	15	69.6875	52.3125	9	6	7	0
460	1	2	76	8	10	100.312	52.3125	14	6	7	0
461	1	2	77	8	14	75.8125	52.3125	10	6	7	0
462	1	2	78	8	12	88.0625	52.3125	12	6	7	0
463	1	2	79	8	16	63.5625	52.3125	8	6	7	0
464	1	2	80	8	17	106.438	46.1875	15	5	7	0
465	1	2	81	8	21	81.9375	46.1875	11	5	7	0
466	1	2	82	8	19	94.1875	46.1875	13	5	7	0
467	1	2	83	8	23	69.6875	46.1875	9	5	7	0
468	1	2	84	8	18	100.312	46.1875	14	5	7	0
469	1	2	85	8	22	75.8125	46.1875	10	5	7	0
470	1	2	86	8	20	88.0625	46.1875	12	5	7	0
471	1	2	87	8	24	63.5625	46.1875	8	5	7	0
472	1	2	88	8	25	106.438	40.0625	15	4	7	0
473	1	2	89	8	29	81.9375	40.0625	11	4	7	0
